X Coodinate [mm],Z Coodinate [mm],Height [nm]
0,0,-27.390348
1.30616667,0,-25.5581257
1.23360185,0,-25.6635521
1.16103704,0,-25.7736729
1.08847222,0,-25.8890227
1.01590741,0,-26.0095816
0.943342593,0,-26.134982
0.870777778,0,-26.2644763
0.798212963,0,-26.396927
0.725648148,0,-26.530789
0.653083333,0,-26.6640898
0.580518519,0,-26.7943021
0.507953704,0,-26.9187201
0.435388889,0,-27.0344483
0.362824074,0,-27.1384873
0.290259259,0,-27.2276958
0.217694444,0,-27.2995181
0.14512963,0,-27.351635
0.072564815,0,-27.3822777
0,-0.043333333,-27.3694236
0,-0.086666667,-27.3102837
0,-0.13,-27.2220768
0,-0.173333333,-27.1162786
0,-0.216666667,-27.00313
0,-0.26,-26.8893713
0.072564815,-0.043333333,-27.361507
0.072564815,-0.086666667,-27.3028019
0.072564815,-0.13,-27.2152195
0.072564815,-0.173333333,-27.1101726
0.072564815,-0.216666667,-26.9977928
0.072564815,-0.26,-26.8847773
0.14512963,-0.043333333,-27.3313272
0.14512963,-0.086666667,-27.2739131
0.14512963,-0.13,-27.1881732
0.14512963,-0.173333333,-27.0853539
0.14512963,-0.216666667,-26.9752515
0.14512963,-0.26,-26.8644415
0.217694444,-0.043333333,-27.2799561
0.217694444,-0.086666667,-27.2245972
0.217694444,-0.13,-27.1418885
0.217694444,-0.173333333,-27.042665
0.217694444,-0.216666667,-26.9362452
0.217694444,-0.26,-26.8290133
0.290259259,-0.043333333,-27.2091423
0.290259259,-0.086666667,-27.1564691
0.290259259,-0.13,-27.0778738
0.290259259,-0.173333333,-26.9834501
0.290259259,-0.216666667,-26.8819476
0.290259259,-0.26,-26.779532
0.362824074,-0.043333333,-27.1210522
0.362824074,-0.086666667,-27.0717208
0.362824074,-0.13,-26.9980998
0.362824074,-0.173333333,-26.9094668
0.362824074,-0.216666667,-26.8139449
0.362824074,-0.26,-26.7173638
0.435388889,-0.043333333,-27.0183866
0.435388889,-0.086666667,-26.9729046
0.435388889,-0.13,-26.9048889
0.435388889,-0.173333333,-26.8227658
0.435388889,-0.216666667,-26.7340778
0.435388889,-0.26,-26.6441261
0.507953704,-0.043333333,-26.9041281
0.507953704,-0.086666667,-26.8627493
0.507953704,-0.13,-26.8007532
0.507953704,-0.173333333,-26.7256581
0.507953704,-0.216666667,-26.6443822
0.507953704,-0.26,-26.5615963
0.580518519,-0.043333333,-26.7812165
0.580518519,-0.086666667,-26.7440754
0.580518519,-0.13,-26.6882477
0.580518519,-0.173333333,-26.6205407
0.580518519,-0.216666667,-26.5469552
0.580518519,-0.26,-26.4716264
0.653083333,-0.043333333,-26.6525086
0.653083333,-0.086666667,-26.619562
0.653083333,-0.13,-26.5700267
0.653083333,-0.173333333,-26.5097292
0.653083333,-0.216666667,-26.4438633
0.653083333,-0.26,-26.3760559
0.725648148,-0.043333333,-26.5206768
0.725648148,-0.086666667,-26.4918978
0.725648148,-0.13,-26.448481
0.725648148,-0.173333333,-26.3953862
0.725648148,-0.216666667,-26.3370596
0.725648148,-0.26,-26.2766393
0.798212963,-0.043333333,-26.3882083
0.798212963,-0.086666667,-26.3633492
0.798212963,-0.13,-26.3257106
0.798212963,-0.173333333,-26.2794493
0.798212963,-0.216666667,-26.2283163
0.798212963,-0.26,-26.1749877
0.870777778,-0.043333333,-26.2570385
0.870777778,-0.086666667,-26.2357914
0.870777778,-0.13,-26.2034966
0.870777778,-0.173333333,-26.1635871
0.870777778,-0.216666667,-26.1191813
0.870777778,-0.26,-26.072528
0.943342593,-0.043333333,-26.1287018
0.943342593,-0.086666667,-26.1107232
0.943342593,-0.13,-26.0832836
0.943342593,-0.173333333,-26.0491756
0.943342593,-0.216666667,-26.0109531
0.943342593,-0.26,-25.970478
1.01590741,-0.043333333,-26.0043317
1.01590741,-0.086666667,-25.9892687
1.01590741,-0.13,-25.9661768
1.01590741,-0.173333333,-25.9372925
1.01590741,-0.216666667,-25.904674
1.01590741,-0.26,-25.8698383
1.08847222,-0.043333333,-25.8846811
1.08847222,-0.086666667,-25.8721932
1.08847222,-0.13,-25.8529568
1.08847222,-0.173333333,-25.8287299
1.08847222,-0.216666667,-25.8011403
1.08847222,-0.26,-25.7714002
1.16103704,-0.043333333,-25.7701321
1.16103704,-0.086666667,-25.7599185
1.16103704,-0.13,-25.7440985
1.16103704,-0.173333333,-25.724017
1.16103704,-0.216666667,-25.7009262
1.16103704,-0.26,-25.6757684
1.23360185,-0.043333333,-25.660732
1.23360185,-0.086666667,-25.6525659
1.23360185,-0.13,-25.6398227
1.23360185,-0.173333333,-25.6234757
1.23360185,-0.216666667,-25.604439
1.23360185,-0.26,-25.5834105
1.30616667,-0.043333333,-25.5560147
1.30616667,-0.086666667,-25.5498483
1.30616667,-0.13,-25.5400682
1.30616667,-0.173333333,-25.5272538
1.30616667,-0.216666667,-25.5119812
1.30616667,-0.26,-25.4947331
-0.072564815,0,-27.3754757
-0.14512963,0,-27.3380343
-0.217694444,0,-27.2791272
-0.290259259,0,-27.2005267
-0.362824074,0,-27.1045536
-0.435388889,0,-26.9937695
-0.507953704,0,-26.8713227
-0.580518519,0,-26.7402105
-0.653083333,0,-26.6033332
-0.725648148,0,-26.4633993
-0.798212963,0,-26.3229366
-0.870777778,0,-26.1839123
-0.943342593,0,-26.0478707
-1.01590741,0,-25.9159488
-1.08847222,0,-25.7888935
-1.16103704,0,-25.6670726
-1.23360185,0,-25.5505061
-1.30616667,0,-25.4386607
-1.30616667,-0.043333333,-25.4365526
-1.30616667,-0.086666667,-25.4303945
-1.30616667,-0.13,-25.4206277
-1.30616667,-0.173333333,-25.4078309
-1.30616667,-0.216666667,-25.3925794
-1.30616667,-0.26,-25.3753554
-1.23360185,-0.043333333,-25.5476896
-1.23360185,-0.086666667,-25.5395338
-1.23360185,-0.13,-25.5268067
-1.23360185,-0.173333333,-25.5104806
-1.23360185,-0.216666667,-25.4914682
-1.23360185,-0.26,-25.470467
-1.16103704,-0.043333333,-25.6635359
-1.16103704,-0.086666667,-25.6533345
-1.16103704,-0.13,-25.6375331
-1.16103704,-0.173333333,-25.6174755
-1.16103704,-0.216666667,-25.5944123
-1.16103704,-0.26,-25.5692848
-1.08847222,-0.043333333,-25.7845568
-1.08847222,-0.086666667,-25.7720827
-1.08847222,-0.13,-25.7528676
-1.08847222,-0.173333333,-25.7286676
