X Coodinate [mm],Z Coodinate [mm],Height [nm]
0,0,-4.05225367
1.30616667,0,-3.80395243
1.23360185,0,-3.818744
1.16103704,0,-3.83414295
1.08847222,0,-3.85021214
1.01590741,0,-3.86693512
0.943342593,0,-3.88424596
0.870777778,0,-3.90202613
0.798212963,0,-3.92010499
0.725648148,0,-3.93825967
0.653083333,0,-3.95621759
0.580518519,0,-3.97366202
0.507953704,0,-3.99024129
0.435388889,0,-4.00558163
0.362824074,0,-4.01930314
0.290259259,0,-4.03103817
0.217694444,0,-4.04045075
0.14512963,0,-4.04725564
0.072564815,0,-4.05123537
0,-0.043333333,-4.04956558
0,-0.086666667,-4.04194729
0,-0.13,-4.0305519
0,-0.173333333,-4.01680517
0,-0.216666667,-4.00198346
0,-0.26,-3.98697452
0.072564815,-0.043333333,-4.04856628
0.072564815,-0.086666667,-4.04100136
0.072564815,-0.13,-4.02968442
0.072564815,-0.173333333,-4.01602984
0.072564815,-0.216666667,-4.00130408
0.072564815,-0.26,-3.98638826
0.14512963,-0.043333333,-4.04464273
0.14512963,-0.086666667,-4.03723564
0.14512963,-0.13,-4.02615072
0.14512963,-0.173333333,-4.01276882
0.14512963,-0.216666667,-3.99832707
0.14512963,-0.26,-3.98368707
0.217694444,-0.043333333,-4.03792865
0.217694444,-0.086666667,-4.03077681
0.217694444,-0.13,-4.02006726
0.217694444,-0.173333333,-4.00712678
0.217694444,-0.216666667,-3.99314514
0.217694444,-0.26,-3.97895237
0.290259259,-0.043333333,-4.02863756
0.290259259,-0.086666667,-4.02182725
0.290259259,-0.13,-4.01162027
0.290259259,-0.173333333,-3.99927131
0.290259259,-0.216666667,-3.9859069
0.290259259,-0.26,-3.9723149
0.362824074,-0.043333333,-4.01704955
0.362824074,-0.086666667,-4.01065269
0.362824074,-0.13,-4.0010546
0.362824074,-0.173333333,-3.98942309
0.362824074,-0.216666667,-3.97680845
0.362824074,-0.26,-3.96394747
0.435388889,-0.043333333,-4.00349466
0.435388889,-0.086666667,-3.99756662
0.435388889,-0.13,-3.98865961
0.435388889,-0.173333333,-3.97784356
0.435388889,-0.216666667,-3.96608267
0.435388889,-0.26,-3.95405589
0.507953704,-0.043333333,-3.98833425
0.507953704,-0.086666667,-3.98291276
0.507953704,-0.13,-3.97475332
0.507953704,-0.173333333,-3.96482091
0.507953704,-0.216666667,-3.95398717
0.507953704,-0.26,-3.94286865
0.580518519,-0.043333333,-3.97194195
0.580518519,-0.086666667,-3.96704719
0.580518519,-0.13,-3.95966617
0.580518519,-0.173333333,-3.95065569
0.580518519,-0.216666667,-3.9407918
0.580518519,-0.26,-3.93062621
0.653083333,-0.043333333,-3.95468566
0.653083333,-0.086666667,-3.95032135
0.653083333,-0.13,-3.94372547
0.653083333,-0.173333333,-3.93564704
0.653083333,-0.216666667,-3.92676656
0.653083333,-0.26,-3.91757065
0.725648148,-0.043333333,-3.93691187
0.725648148,-0.086666667,-3.93306717
0.725648148,-0.13,-3.92724177
0.725648148,-0.173333333,-3.9200804
0.725648148,-0.216666667,-3.91217083
0.725648148,-0.26,-3.90393609
0.798212963,-0.043333333,-3.91893302
0.798212963,-0.086666667,-3.91558505
0.798212963,-0.13,-3.9104977
0.798212963,-0.173333333,-3.90421743
0.798212963,-0.216666667,-3.89724431
0.798212963,-0.26,-3.8899408
0.870777778,-0.043333333,-3.90101846
0.870777778,-0.086666667,-3.89813517
0.870777778,-0.13,-3.89373984
0.870777778,-0.173333333,-3.88828852
0.870777778,-0.216666667,-3.88220025
0.870777778,-0.26,-3.87578113
0.943342593,-0.043333333,-3.8833889
0.943342593,-0.086666667,-3.88093213
0.943342593,-0.13,-3.87717361
0.943342593,-0.173333333,-3.87248802
0.943342593,-0.216666667,-3.86722108
0.943342593,-0.26,-3.86162743
1.01590741,-0.043333333,-3.86621394
1.01590741,-0.086666667,-3.8641425
1.01590741,-0.13,-3.86096097
1.01590741,-0.173333333,-3.85697204
1.01590741,-0.216666667,-3.85245629
1.01590741,-0.26,-3.84762212
1.08847222,-0.043333333,-3.84961218
1.08847222,-0.086666667,-3.84788505
1.08847222,-0.13,-3.84522065
1.08847222,-0.173333333,-3.84185883
1.08847222,-0.216666667,-3.83802286
1.08847222,-0.26,-3.83388001
1.16103704,-0.043333333,-3.83365104
1.16103704,-0.086666667,-3.83223123
1.16103704,-0.13,-3.83002954
1.16103704,-0.173333333,-3.82723079
1.16103704,-0.216666667,-3.82400771
1.16103704,-0.26,-3.82049085
1.23360185,-0.043333333,-3.81835033
1.23360185,-0.086666667,-3.81720989
1.23360185,-0.13,-3.81542871
1.23360185,-0.173333333,-3.81314141
1.23360185,-0.216666667,-3.81047467
1.23360185,-0.26,-3.80752555
1.30616667,-0.043333333,-3.80365642
1.30616667,-0.086666667,-3.80279147
1.30616667,-0.13,-3.80141893
1.30616667,-0.173333333,-3.7996193
1.30616667,-0.216666667,-3.79747277
1.30616667,-0.26,-3.79504661
-0.072564815,0,-4.05026422
-0.14512963,0,-4.04531353
-0.217694444,0,-4.03753803
-0.290259259,0,-4.02715539
-0.362824074,0,-4.01445106
-0.435388889,0,-3.99976123
-0.507953704,0,-3.98345373
-0.580518519,0,-3.96590866
-0.653083333,0,-3.94749996
-0.725648148,0,-3.92857947
-0.798212963,0,-3.90946405
-0.870777778,0,-3.89042642
-0.943342593,0,-3.87168962
-1.01590741,0,-3.85342441
-1.08847222,0,-3.8357495
-1.16103704,0,-3.81873096
-1.23360185,0,-3.80238545
-1.30616667,0,-3.78665027
-1.30616667,-0.043333333,-3.78635437
-1.30616667,-0.086666667,-3.78548975
-1.30616667,-0.13,-3.78411775
-1.30616667,-0.173333333,-3.78231888
-1.30616667,-0.216666667,-3.78017329
-1.30616667,-0.26,-3.77774825
-1.23360185,-0.043333333,-3.8019919
-1.23360185,-0.086666667,-3.80085182
-1.23360185,-0.13,-3.79907123
-1.23360185,-0.173333333,-3.79678472
-1.23360185,-0.216666667,-3.79411897
-1.23360185,-0.26,-3.79117101
-1.16103704,-0.043333333,-3.81823919
-1.16103704,-0.086666667,-3.81681976
-1.16103704,-0.13,-3.8146187
-1.16103704,-0.173333333,-3.81182078
-1.16103704,-0.216666667,-3.80859873
-1.16103704,-0.26,-3.80508305
-1.08847222,-0.043333333,-3.83514968
-1.08847222,-0.086666667,-3.83342296
-1.08847222,-0.13,-3.83075922
-1.08847222,-0.173333333,-3.82739827
-1.08847222,-0.216666667,-3.82356337
-1.08847222,-0.26,-3.81942175
-1.01590741,-0.043333333,-3.85270338
-1.01590741,-0.086666667,-3.85063237
-1.01590741,-0.13,-3.84745154
-1.01590741,-0.173333333,-3.84346353
-1.01590741,-0.216666667,-3.8389489
-1.01590741,-0.26,-3.83411601
-0.943342593,-0.043333333,-3.87083272
-0.943342593,-0.086666667,-3.8683764
-0.943342593,-0.13,-3.86461861
