X Coodinate [mm],Z Coodinate [mm],Height [nm]
0,0,-14.0886316
0.799875,0,-13.263917
0.755437,0,-13.3131601
0.711,0,-13.3645065
0.666562,0,-13.4180369
0.622125,0,-13.4736371
0.577687,0,-13.5310711
0.53325,0,-13.5899493
0.488812,0,-13.649725
0.444375,0,-13.7096893
0.399937,0,-13.7689755
0.3555,0,-13.8265731
0.311062,0,-13.8813539
0.266625,0,-13.9321105
0.222187,0,-13.9776061
0.17775,0,-14.0166346
0.133312,0,-14.048085
0.088875,0,-14.0710081
0.0444375,0,-14.0846762
0,-0.0433333,-14.0741515
0,-0.0866667,-14.0334199
0,-0.13,-13.9733418
0,-0.173333,-13.9022309
0,-0.216667,-13.8272555
0,-0.26,-13.7531401
0.0444375,-0.0433333,-14.0702945
0.0444375,-0.0866667,-14.0298354
0.0444375,-0.13,-13.9701466
0.0444375,-0.173333,-13.8994757
0.0444375,-0.216667,-13.8249376
0.0444375,-0.26,-13.7512256
0.088875,-0.0433333,-14.0569179
0.088875,-0.0866667,-14.0172655
0.088875,-0.13,-13.9587294
0.088875,-0.173333,-13.889362
0.088875,-0.216667,-13.8161206
0.088875,-0.26,-13.7436061
0.133312,-0.0433333,-14.0344655
0.133312,-0.0866667,-13.9961165
0.133312,-0.13,-13.9394447
0.133312,-0.173333,-13.8721883
0.133312,-0.216667,-13.8010498
0.133312,-0.26,-13.7304801
0.17775,-0.0433333,-14.0036435
0.17775,-0.0866667,-13.967036
0.17775,-0.13,-13.912859
0.17775,-0.173333,-13.8484322
0.17775,-0.216667,-13.7801185
0.17775,-0.26,-13.7121671
0.222187,-0.0433333,-13.965374
0.222187,-0.0866667,-13.9308714
0.222187,-0.13,-13.8797149
0.222187,-0.173333,-13.8187224
0.222187,-0.216667,-13.7538465
0.222187,-0.26,-13.6890908
0.266625,-0.0433333,-13.9207365
0.266625,-0.0866667,-13.8886172
0.266625,-0.13,-13.8408879
0.266625,-0.173333,-13.7838034
0.266625,-0.216667,-13.7228524
0.266625,-0.26,-13.6617582
