X Coodinate [mm],Z Coodinate [mm],Height [nm]
0,0,-13.5737028
1.30617,0,-12.7155794
1.2336,0,-12.7660733
1.16104,0,-12.8186998
1.08847,0,-12.873687
1.01591,0,-12.9309936
0.943343,0,-12.9904098
0.870778,0,-13.0515449
0.798213,0,-13.1138273
0.725648,0,-13.1765009
0.653083,0,-13.2386315
0.580519,0,-13.2991232
0.507954,0,-13.356748
0.435389,0,-13.4101893
0.362824,0,-13.4580974
0.290259,0,-13.4991562
0.217694,0,-13.5321544
0.14513,0,-13.5560575
0.0725648,0,-13.5700729
0,-0.0433333,-13.5641761
0,-0.0866667,-13.5372271
0,-0.13,-13.4970484
0,-0.173333,-13.4487696
0,-0.216667,-13.3969221
0,-0.26,-13.3446095
0.0725648,-0.0433333,-13.5606163
0.0725648,-0.0866667,-13.5338632
0.0725648,-0.13,-13.4939705
0.0725648,-0.173333,-13.4460251
0.0725648,-0.216667,-13.3945219
0.0725648,-0.26,-13.3425412
0.14513,-0.0433333,-13.5468078
0.14513,-0.0866667,-13.520634
0.14513,-0.13,-13.4815874
0.14513,-0.173333,-13.4346286
0.14513,-0.216667,-13.3841451
0.14513,-0.26,-13.3331478
0.217694,-0.0433333,-13.5232386
0.217694,-0.0866667,-13.4979999
0.217694,-0.13,-13.4603198
0.217694,-0.173333,-13.4149559
0.217694,-0.216667,-13.3661224
0.217694,-0.26,-13.3167183
0.290259,-0.0433333,-13.4906857
0.290259,-0.0866667,-13.4666944
0.290259,-0.13,-13.430839
0.290259,-0.173333,-13.3876075
0.290259,-0.216667,-13.3409834
0.290259,-0.26,-13.2937161
0.362824,-0.0433333,-13.4501635
0.362824,-0.0866667,-13.4276765
0.362824,-0.13,-13.3940243
0.362824,-0.173333,-13.3533718
0.362824,-0.216667,-13.309425
0.362824,-0.26,-13.2647526
0.435389,-0.0433333,-13.4028606
0.435389,-0.0866667,-13.3820718
0.435389,-0.13,-13.3509103
0.435389,-0.173333,-13.3131789
0.435389,-0.216667,-13.2722721
0.435389,-0.26,-13.2305537
0.507954,-0.0433333,-13.3500696
0.507954,-0.0866667,-13.3311066
0.507954,-0.13,-13.3026275
0.507954,-0.173333,-13.2680495
0.507954,-0.216667,-13.2304334
0.507954,-0.26,-13.1919228
0.580519,-0.0433333,-13.2931167
0.580519,-0.0866667,-13.2760424
0.580519,-0.13,-13.2503433
0.580519,-0.173333,-13.2190422
0.580519,-0.216667,-13.1848566
0.580519,-0.26,-13.1497019
0.653083,-0.0433333,-13.2332974
0.653083,-0.0866667,-13.2181151
0.653083,-0.13,-13.1952066
0.653083,-0.173333,-13.1672046
0.653083,-0.216667,-13.1364852
0.653083,-0.26,-13.1047351
0.725648,-0.0433333,-13.1718212
0.725648,-0.0866667,-13.1584824
0.725648,-0.13,-13.1382996
0.725648,-0.173333,-13.1135301
0.725648,-0.216667,-13.0862207
0.725648,-0.26,-13.0578353
0.798213,-0.0433333,-13.1097692
0.798213,-0.0866667,-13.0981838
0.798213,-0.13,-13.0805998
0.798213,-0.173333,-13.0589236
0.798213,-0.216667,-13.0348917
0.798213,-0.26,-13.0097564
0.870778,-0.0433333,-13.0480647
0.870778,-0.0866667,-13.0381117
0.870778,-0.13,-13.0229538
0.870778,-0.173333,-13.0041764
0.870778,-0.216667,-12.9832311
0.870778,-0.26,-12.9611735
0.943343,-0.0433333,-12.9874567
0.943343,-0.0866667,-12.9789954
0.943343,-0.13,-12.9660608
0.943343,-0.173333,-12.9499515
0.943343,-0.216667,-12.931862
0.943343,-0.26,-12.9126691
1.01591,-0.0433333,-12.9285141
1.01591,-0.0866667,-12.9213948
1.01591,-0.13,-12.9104671
1.01591,-0.173333,-12.896777
1.01591,-0.216667,-12.8812916
1.01591,-0.26,-12.8647276
1.08847,-0.0433333,-12.8716284
1.08847,-0.0866667,-12.8657037
1.08847,-0.13,-12.8565684
1.08847,-0.173333,-12.845049
1.08847,-0.216667,-12.8319137
1.08847,-0.26,-12.8177367
1.16104,-0.0433333,-12.817015
1.16104,-0.0866667,-12.8121528
1.16104,-0.13,-12.8046161
1.16104,-0.173333,-12.7950402
1.16104,-0.216667,-12.7840182
1.16104,-0.26,-12.7719977
1.2336,-0.0433333,-12.7647271
1.2336,-0.0866667,-12.7608278
1.2336,-0.13,-12.7547395
1.2336,-0.173333,-12.746924
1.2336,-0.216667,-12.7378156
1.2336,-0.26,-12.7277467
1.30617,-0.0433333,-12.7145687
1.30617,-0.0866667,-12.7116157
1.30617,-0.13,-12.7069306
1.30617,-0.173333,-12.7007892
1.30617,-0.216667,-12.6934659
1.30617,-0.26,-12.6851909
-0.0725648,0,-13.5667775
-0.14513,0,-13.5494679
-0.217694,0,-13.5222732
-0.290259,0,-13.485987
-0.362824,0,-13.441645
-0.435389,0,-13.3904594
-0.507954,0,-13.3337474
-0.580519,0,-13.2728593
-0.653083,0,-13.2091122
-0.725648,0,-13.1437345
-0.798213,0,-13.0778225
-0.870778,0,-13.0123107
-0.943343,0,-12.9479552
-1.01591,0,-12.885328
-1.08847,0,-12.8248202
-1.16104,0,-12.7666419
-1.2336,0,-12.7108347
-1.30617,0,-12.6571712
-1.30617,-0.0433333,-12.6561612
-1.30617,-0.0866667,-12.6532104
-1.30617,-0.13,-12.6485287
-1.30617,-0.173333,-12.6423919
-1.30617,-0.216667,-12.6350742
-1.30617,-0.26,-12.6268057
-1.2336,-0.0433333,-12.7094893
-1.2336,-0.0866667,-12.7055925
-1.2336,-0.13,-12.6995082
-1.2336,-0.173333,-12.6916979
-1.2336,-0.216667,-12.6825957
-1.2336,-0.26,-12.6725339
-1.16104,-0.0433333,-12.764958
-1.16104,-0.0866667,-12.7600987
-1.16104,-0.13,-12.7525664
-1.16104,-0.173333,-12.7429962
-1.16104,-0.216667,-12.731981
-1.16104,-0.26,-12.7199681
-1.08847,-0.0433333,-12.8227627
-1.08847,-0.0866667,-12.8168411
-1.08847,-0.13,-12.8077107
-1.08847,-0.173333,-12.7961977
-1.08847,-0.216667,-12.7830698
-1.08847,-0.26,-12.768901
-1.01591,-0.0433333,-12.8828498
-1.01591,-0.0866667,-12.8757339
-1.01591,-0.13,-12.8648116
-1.01591,-0.173333,-12.8511283
-1.01591,-0.216667,-12.8356509
-1.01591,-0.26,-12.8190957
-0.943343,-0.0433333,-12.9450034
-0.943343,-0.0866667,-12.9365458
-0.943343,-0.13,-12.9236171
-0.943343,-0.173333,-12.9075152
-0.943343,-0.216667,-12.8894342
-0.943343,-0.26,-12.8702507
-0.870778,-0.0433333,-13.0088318
-0.870778,-0.0866667,-12.9988829
-0.870778,-0.13,-12.9837312
-0.870778,-0.173333,-12.9649617
-0.870778,-0.216667,-12.9440253
-0.870778,-0.26,-12.9219774
-0.798213,-0.0433333,-13.0737659
-0.798213,-0.0866667,-13.0621848
-0.798213,-0.13,-13.0446073
-0.798213,-0.173333,-13.0229393
-0.798213,-0.216667,-12.9989166
-0.798213,-0.26,-12.9737912
-0.725648,-0.0433333,-13.1390563
-0.725648,-0.0866667,-13.125722
-0.725648,-0.13,-13.1055459
-0.725648,-0.173333,-13.0807848
-0.725648,-0.216667,-13.0534847
-0.725648,-0.26,-13.0251092
-0.653083,-0.0433333,-13.2037796
-0.653083,-0.0866667,-13.1886018
-0.653083,-0.13,-13.1657002
-0.653083,-0.173333,-13.1377065
-0.653083,-0.216667,-13.1069964
-0.653083,-0.26,-13.0752561
-0.580519,-0.0433333,-13.2668544
-0.580519,-0.0866667,-13.2497846
-0.580519,-0.13,-13.2240923
-0.580519,-0.173333,-13.1927995
-0.580519,-0.216667,-13.1586229
-0.580519,-0.26,-13.1234777
-0.507954,-0.0433333,-13.3270706
-0.507954,-0.0866667,-13.308112
-0.507954,-0.13,-13.2796395
-0.507954,-0.173333,-13.2450696
-0.507954,-0.216667,-13.2074623
-0.507954,-0.26,-13.1689608
-0.435389,-0.0433333,-13.3831323
-0.435389,-0.0866667,-13.3623477
-0.435389,-0.13,-13.3311924
-0.435389,-0.173333,-13.2934688
-0.435389,-0.216667,-13.2525704
-0.435389,-0.26,-13.2108608
-0.362824,-0.0433333,-13.4337124
-0.362824,-0.0866667,-13.4112293
-0.362824,-0.13,-13.3775829
-0.362824,-0.173333,-13.3369375
-0.362824,-0.216667,-13.2929987
-0.362824,-0.26,-13.2483346
-0.290259,-0.0433333,-13.4775176
-0.290259,-0.0866667,-13.4535297
-0.290259,-0.13,-13.4176794
-0.290259,-0.173333,-13.3744542
-0.290259,-0.216667,-13.3278372
-0.290259,-0.26,-13.2805774
-0.217694,-0.0433333,-13.5133584
-0.217694,-0.0866667,-13.4881224
-0.217694,-0.13,-13.4504463
-0.217694,-0.173333,-13.4050875
-0.217694,-0.216667,-13.3562598
-0.217694,-0.26,-13.3068618
-0.14513,-0.0433333,-13.5402189
-0.14513,-0.0866667,-13.514047
-0.14513,-0.13,-13.4750033
-0.14513,-0.173333,-13.4280481
-0.14513,-0.216667,-13.3775686
-0.14513,-0.26,-13.3265756
-0.0725648,-0.0433333,-13.5573212
-0.0725648,-0.0866667,-13.5305691
-0.0725648,-0.13,-13.4906779
-0.0725648,-0.173333,-13.4427344
-0.0725648,-0.216667,-13.3912332
-0.0725648,-0.26,-13.3392547
