X Coodinate [mm],Z Coodinate [mm],Height [nm]
0,0,-1.3489503
1.30616667,0,-1.2669854
1.23360185,0,-1.27188354
1.16103704,0,-1.27698129
1.08847222,0,-1.28229913
1.01590741,0,-1.28783124
0.943342593,0,-1.29355544
0.870777778,0,-1.29943213
0.798212963,0,-1.30540457
0.725648148,0,-1.31139889
0.653083333,0,-1.31732493
0.580518519,0,-1.32307823
0.507953704,0,-1.32854303
0.435388889,0,-1.33359659
0.362824074,0,-1.33811439
0.290259259,0,-1.34197615
0.217694444,0,-1.34507213
0.14512963,0,-1.34730931
0.072564815,0,-1.34861682
0,-0.043333333,-1.3480685
0,-0.086666667,-1.34556827
0,-0.13,-1.34182553
0,-0.173333333,-1.3373062
0,-0.216666667,-1.33242872
0,-0.26,-1.32748518
0.072564815,-0.043333333,-1.34774119
0.072564815,-0.086666667,-1.34525832
0.072564815,-0.13,-1.34154113
0.072564815,-0.173333333,-1.33705189
0.072564815,-0.216666667,-1.33220577
0.072564815,-0.26,-1.32729273
0.14512963,-0.043333333,-1.34645193
0.14512963,-0.086666667,-1.3440204
0.14512963,-0.13,-1.34037879
0.14512963,-0.173333333,-1.33597853
0.14512963,-0.216666667,-1.33122527
0.14512963,-0.26,-1.32640255
0.217694444,-0.043333333,-1.34424428
0.217694444,-0.086666667,-1.3418958
0.217694444,-0.13,-1.33837652
0.217694444,-0.173333333,-1.33412035
0.217694444,-0.216666667,-1.32951756
0.217694444,-0.26,-1.32484133
0.290259259,-0.043333333,-1.34118783
0.290259259,-0.086666667,-1.33895055
0.290259259,-0.13,-1.33559514
0.290259259,-0.173333333,-1.33153217
0.290259259,-0.216666667,-1.32713132
0.290259259,-0.26,-1.32265195
0.362824074,-0.043333333,-1.33737395
0.362824074,-0.086666667,-1.33527142
0.362824074,-0.13,-1.3321147
0.362824074,-0.173333333,-1.32828622
0.362824074,-0.216666667,-1.32413082
0.362824074,-0.26,-1.31989111
0.435388889,-0.043333333,-1.33291047
0.435388889,-0.086666667,-1.33096089
0.435388889,-0.13,-1.3280299
0.435388889,-0.173333333,-1.32446817
0.435388889,-0.216666667,-1.32059245
0.435388889,-0.26,-1.31662638
0.507953704,-0.043333333,-1.32791564
0.507953704,-0.086666667,-1.32613152
0.507953704,-0.13,-1.32344497
0.507953704,-0.173333333,-1.32017254
0.507953704,-0.216666667,-1.31660079
0.507953704,-0.26,-1.31293286
0.580518519,-0.043333333,-1.32251195
0.580518519,-0.086666667,-1.32090008
0.580518519,-0.13,-1.31846835
0.580518519,-0.173333333,-1.31549807
0.580518519,-0.216666667,-1.31224454
0.580518519,-0.26,-1.30888964
0.653083333,-0.043333333,-1.31682023
0.653083333,-0.086666667,-1.31538206
0.653083333,-0.13,-1.31320764
0.653083333,-0.173333333,-1.31054314
0.653083333,-0.216666667,-1.30761257
0.653083333,-0.26,-1.30457643
0.725648148,-0.043333333,-1.31095453
0.725648148,-0.086666667,-1.30968673
0.725648148,-0.13,-1.30776511
0.725648148,-0.173333333,-1.30540178
0.725648148,-0.216666667,-1.30279036
0.725648148,-0.26,-1.30007042
0.798212963,-0.043333333,-1.30501792
0.798212963,-0.086666667,-1.30391319
0.798212963,-0.13,-1.30223402
0.798212963,-0.173333333,-1.30016034
0.798212963,-0.216666667,-1.297857
0.798212963,-0.26,-1.29544366
0.870777778,-0.043333333,-1.29909947
0.870777778,-0.086666667,-1.29814747
0.870777778,-0.13,-1.29669587
0.870777778,-0.173333333,-1.29489497
0.870777778,-0.216666667,-1.29288299
0.870777778,-0.26,-1.29076103
0.943342593,-0.043333333,-1.29327233
0.943342593,-0.086666667,-1.29246067
0.943342593,-0.13,-1.29121871
0.943342593,-0.173333333,-1.28967002
0.943342593,-0.216666667,-1.28792871
0.943342593,-0.26,-1.28607891
1.01590741,-0.043333333,-1.28759288
1.01590741,-0.086666667,-1.28690816
1.01590741,-0.13,-1.28585633
1.01590741,-0.173333333,-1.28453729
1.01590741,-0.216666667,-1.28304372
1.01590741,-0.26,-1.2814445
1.08847222,-0.043333333,-1.28210073
1.08847222,-0.086666667,-1.28152954
1.08847222,-0.13,-1.28064826
1.08847222,-0.173333333,-1.27953612
1.08847222,-0.216666667,-1.27826691
1.08847222,-0.26,-1.27689592
1.16103704,-0.043333333,-1.27681854
1.16103704,-0.086666667,-1.27634877
1.16103704,-0.13,-1.27562023
1.16103704,-0.173333333,-1.27469401
1.16103704,-0.216666667,-1.27362721
1.16103704,-0.26,-1.27246301
1.23360185,-0.043333333,-1.27175324
1.23360185,-0.086666667,-1.27137575
1.23360185,-0.13,-1.27078613
1.23360185,-0.173333333,-1.27002889
1.23360185,-0.216666667,-1.26914595
1.23360185,-0.26,-1.2681694
1.30616667,-0.043333333,-1.26688738
1.30616667,-0.086666667,-1.26660097
1.30616667,-0.13,-1.26614645
1.30616667,-0.173333333,-1.26555047
1.30616667,-0.216666667,-1.26483955
1.30616667,-0.26,-1.26403595
-0.072564815,0,-1.34829467
-0.14512963,0,-1.34666505
-0.217694444,0,-1.34410586
-0.290259259,0,-1.340688
-0.362824074,0,-1.33650456
-0.435388889,0,-1.33166535
-0.507953704,0,-1.3262907
-0.580518519,0,-1.32050518
-0.653083333,0,-1.31443161
-0.725648148,0,-1.30818579
-0.798212963,0,-1.30187225
-0.870777778,0,-1.29558117
-0.943342593,0,-1.2893865
-1.01590741,0,-1.28334504
-1.08847222,0,-1.27749642
-1.16103704,0,-1.2718629
-1.23360185,0,-1.26645036
-1.30616667,0,-1.26123838
-1.30616667,-0.043333333,-1.26114039
-1.30616667,-0.086666667,-1.26085406
-1.30616667,-0.13,-1.26039968
-1.30616667,-0.173333333,-1.25980389
-1.30616667,-0.216666667,-1.25909322
-1.30616667,-0.26,-1.25828993
-1.23360185,-0.043333333,-1.26632009
-1.23360185,-0.086666667,-1.26594268
-1.23360185,-0.13,-1.26535321
-1.23360185,-0.173333333,-1.26459617
-1.23360185,-0.216666667,-1.26371348
-1.23360185,-0.26,-1.26273724
-1.16103704,-0.043333333,-1.27170018
-1.16103704,-0.086666667,-1.2712305
-1.16103704,-0.13,-1.27050211
-1.16103704,-0.173333333,-1.26957609
-1.16103704,-0.216666667,-1.26850954
-1.16103704,-0.26,-1.26734564
-1.08847222,-0.043333333,-1.27729805
-1.08847222,-0.086666667,-1.27672695
-1.08847222,-0.13,-1.27584582
-1.08847222,-0.173333333,-1.27473389
-1.08847222,-0.216666667,-1.27346493
-1.08847222,-0.26,-1.27209425
-1.01590741,-0.043333333,-1.2831067
-1.01590741,-0.086666667,-1.28242208
-1.01590741,-0.13,-1.2813704
-1.01590741,-0.173333333,-1.28005157
-1.01590741,-0.216666667,-1.27855827
-1.01590741,-0.26,-1.27695936
-0.943342593,-0.043333333,-1.28910342
-0.943342593,-0.086666667,-1.28829187
-0.943342593,-0.13,-1.28705006
-0.943342593,-0.173333333,-1.28550158
-0.943342593,-0.216666667,-1.28376053
-0.943342593,-0.26,-1.28191106
-0.870777778,-0.043333333,-1.29524854
-0.870777778,-0.086666667,-1.29429664
-0.870777778,-0.13,-1.2928452
-0.870777778,-0.173333333,-1.2910445
-0.870777778,-0.216666667,-1.2890328
-0.870777778,-0.26,-1.28691115
-0.798212963,-0.043333333,-1.30148563
-0.798212963,-0.086666667,-1.30038099
-0.798212963,-0.13,-1.29870197
-0.798212963,-0.173333333,-1.2966285
-0.798212963,-0.216666667,-1.29432541
-0.798212963,-0.26,-1.29191237
-0.725648148,-0.043333333,-1.30774146
-0.725648148,-0.086666667,-1.30647375
-0.725648148,-0.13,-1.30455228
-0.725648148,-0.173333333,-1.30218914
-0.725648148,-0.216666667,-1.29957796
-0.725648148,-0.26,-1.2968583
-0.653083333,-0.043333333,-1.31392694
-0.653083333,-0.086666667,-1.31248885
-0.653083333,-0.13,-1.31031457
-0.653083333,-0.173333333,-1.30765025
-0.653083333,-0.216666667,-1.3047199
-0.653083333,-0.26,-1.30168401
-0.580518519,-0.043333333,-1.31993893
-0.580518519,-0.086666667,-1.31832714
-0.580518519,-0.13,-1.31589554
-0.580518519,-0.173333333,-1.31292543
-0.580518519,-0.216666667,-1.3096721
-0.580518519,-0.26,-1.30631742
-0.507953704,-0.043333333,-1.32566333
-0.507953704,-0.086666667,-1.32387929
-0.507953704,-0.13,-1.32119286
-0.507953704,-0.173333333,-1.3179206
-0.507953704,-0.216666667,-1.31434903
-0.507953704,-0.26,-1.31068132
-0.435388889,-0.043333333,-1.33097925
-0.435388889,-0.086666667,-1.32902975
-0.435388889,-0.13,-1.32609888
-0.435388889,-0.173333333,-1.32253731
-0.435388889,-0.216666667,-1.31866178
-0.435388889,-0.26,-1.31469594
-0.362824074,-0.043333333,-1.33576415
-0.362824074,-0.086666667,-1.33366169
-0.362824074,-0.13,-1.33050509
-0.362824074,-0.173333333,-1.32667677
-0.362824074,-0.216666667,-1.32252157
-0.362824074,-0.26,-1.3182821
-0.290259259,-0.043333333,-1.3398997
-0.290259259,-0.086666667,-1.33766249
-0.290259259,-0.13,-1.33430719
-0.290259259,-0.173333333,-1.33024437
-0.290259259,-0.216666667,-1.32584372
-0.290259259,-0.26,-1.3213646
-0.217694444,-0.043333333,-1.34327803
-0.217694444,-0.086666667,-1.3409296
-0.217694444,-0.13,-1.33741041
-0.217694444,-0.173333333,-1.33315437
-0.217694444,-0.216666667,-1.32855175
-0.217694444,-0.26,-1.32387575
-0.14512963,-0.043333333,-1.34580769
-0.14512963,-0.086666667,-1.34337619
-0.14512963,-0.13,-1.33973465
-0.14512963,-0.173333333,-1.33533448
-0.14512963,-0.216666667,-1.33058135
-0.14512963,-0.26,-1.32575879
-0.072564815,-0.043333333,-1.34741904
-0.072564815,-0.086666667,-1.3449362
-0.072564815,-0.13,-1.34121905
