NODE	X	Y	Z
2240	-3.273809524	0	0
2241	-3.333333333	0	0
2242	-3.392857143	0	0
2243	-3.452380952	0	0
2244	-3.511904762	0	0
2245	-3.571428571	0	0
2246	-3.630952381	0	0
2247	-3.69047619	0	0
2248	-3.75	0	0
2249	-3.80952381	0	0
2250	-3.869047619	0	0
2251	-3.928571429	0	0
2252	-3.988095238	0	0
2253	-4.047619048	0	0
2254	-4.107142857	0	0
2255	-4.166666667	0	0
2256	-4.226190476	0	0
2257	-4.285714286	0	0
2258	-4.345238095	0	0
2259	-4.404761905	0	0
2260	-4.464285714	0	0
2261	-4.523809524	0	0
2262	-4.583333333	0	0
2263	-4.642857143	0	0
2264	-4.702380952	0	0
2265	-4.761904762	0	0
2266	-4.821428571	0	0
2267	-4.880952381	0	0
2268	-4.94047619	0	0
2269	-5	0	0
2270	-5.05952381	0	0
2271	-5.119047619	0	0
2272	-5.178571429	0	0
2273	-5.238095238	0	0
2274	-5.297619048	0	0
2275	-5.357142857	0	0
2276	-5.416666667	0	0
2277	-5.476190476	0	0
2278	-5.535714286	0	0
2279	-5.595238095	0	0
2280	-5.654761905	0	0
2281	-5.714285714	0	0
2282	-5.773809524	0	0
2283	-5.833333333	0	0
2284	-5.892857143	0	0
2285	-5.952380952	0	0
2286	-6.011904762	0	0
2287	-6.071428571	0	0
2288	-6.130952381	0	0
2289	-6.19047619	0	0
2290	-6.25	0	0
2291	-6.30952381	0	0
2292	-6.369047619	0	0
2293	-6.428571429	0	0
2294	-6.488095238	0	0
2295	-6.547619048	0	0
2296	-6.607142857	0	0
2297	-6.666666667	0	0
2298	-6.726190476	0	0
2299	-6.785714286	0	0
2300	-6.845238095	0	0
2301	-6.904761905	0	0
2302	-6.964285714	0	0
2303	-7.023809524	0	0
2304	-7.083333333	0	0
2305	-7.142857143	0	0
2306	-7.202380952	0	0
2307	-7.261904762	0	0
2308	-7.321428571	0	0
2309	-7.380952381	0	0
2310	-7.44047619	0	0
7768	0	0	-0.73125
7769	0	0	-0.7125
7770	0	0	-0.69375
7771	0	0	-0.675
7772	0	0	-0.65625
7773	0	0	-0.6375
7774	0	0	-0.61875
7775	0	0	-0.6
7776	0	0	-0.58125
7777	0	0	-0.5625
7778	0	0	-0.54375
7779	0	0	-0.525
7780	0	0	-0.50625
7781	0	0	-0.4875
7782	0	0	-0.46875
7783	0	0	-0.45
7784	0	0	-0.43125
7785	0	0	-0.4125
7786	0	0	-0.39375
7787	0	0	-0.375
7788	0	0	-0.35625
7789	0	0	-0.3375
7790	0	0	-0.31875
7791	0	0	-0.3
7792	0	0	-0.28125
7793	0	0	-0.2625
7794	0	0	-0.24375
7795	0	0	-0.225
7796	0	0	-0.20625
7797	0	0	-0.1875
7798	0	0	-0.16875
7799	0	0	-0.15
7800	0	0	-0.13125
7801	0	0	-0.1125
7802	0	0	-9.38E-02
7803	0	0	-7.50E-02
7804	0	0	-5.63E-02
7805	0	0	-3.75E-02
7806	0	0	-1.88E-02
7807	-7.5	0	-1.88E-02
7808	-7.5	0	-3.75E-02
7809	-7.5	0	-5.63E-02
7810	-7.5	0	-7.50E-02
7811	-7.5	0	-9.38E-02
7812	-7.5	0	-0.1125
7813	-7.5	0	-0.13125
7814	-7.5	0	-0.15
7815	-7.5	0	-0.16875
7816	-7.5	0	-0.1875
7817	-7.5	0	-0.20625
7818	-7.5	0	-0.225
7819	-7.5	0	-0.24375
7820	-7.5	0	-0.2625
7821	-7.5	0	-0.28125
7822	-7.5	0	-0.3
7823	-7.5	0	-0.31875
7824	-7.5	0	-0.3375
7825	-7.5	0	-0.35625
7826	-7.5	0	-0.375
7827	-7.5	0	-0.39375
7828	-7.5	0	-0.4125
7829	-7.5	0	-0.43125
7830	-7.5	0	-0.45
7831	-7.5	0	-0.46875
7832	-7.5	0	-0.4875
7833	-7.5	0	-0.50625
7834	-7.5	0	-0.525
7835	-7.5	0	-0.54375
7836	-7.5	0	-0.5625
7837	-7.5	0	-0.58125
7838	-7.5	0	-0.6
7839	-7.5	0	-0.61875
7840	-7.5	0	-0.6375
7841	-7.5	0	-0.65625
7842	-7.5	0	-0.675
7843	-7.5	0	-0.69375
7844	-7.5	0	-0.7125
7845	-7.5	0	-0.73125
7846	-7.44047619	0	-3.75E-02
7847	-7.44047619	0	-7.50E-02
7848	-7.44047619	0	-0.1125
7849	-7.44047619	0	-0.15
7850	-7.44047619	0	-0.1875
7851	-7.44047619	0	-0.225
7852	-7.44047619	0	-0.2625
7853	-7.44047619	0	-0.3
7854	-7.44047619	0	-0.3375
7855	-7.44047619	0	-0.375
7856	-7.44047619	0	-0.4125
7857	-7.44047619	0	-0.45
7858	-7.44047619	0	-0.4875
7859	-7.44047619	0	-0.525
7860	-7.44047619	0	-0.5625
7861	-7.44047619	0	-0.6
7862	-7.44047619	0	-0.6375
7863	-7.44047619	0	-0.675
7864	-7.44047619	0	-0.7125
7865	-7.380952381	0	-1.88E-02
7866	-7.380952381	0	-3.75E-02
7867	-7.380952381	0	-5.63E-02
7868	-7.380952381	0	-7.50E-02
7869	-7.380952381	0	-9.38E-02
7870	-7.380952381	0	-0.1125
7871	-7.380952381	0	-0.13125
7872	-7.380952381	0	-0.15
7873	-7.380952381	0	-0.16875
7874	-7.380952381	0	-0.1875
7875	-7.380952381	0	-0.20625
7876	-7.380952381	0	-0.225
7877	-7.380952381	0	-0.24375
7878	-7.380952381	0	-0.2625
7879	-7.380952381	0	-0.28125
7880	-7.380952381	0	-0.3
7881	-7.380952381	0	-0.31875
7882	-7.380952381	0	-0.3375
7883	-7.380952381	0	-0.35625
7884	-7.380952381	0	-0.375
7885	-7.380952381	0	-0.39375
7886	-7.380952381	0	-0.4125
7887	-7.380952381	0	-0.43125
7888	-7.380952381	0	-0.45
7889	-7.380952381	0	-0.46875
7890	-7.380952381	0	-0.4875
7891	-7.380952381	0	-0.50625
7892	-7.380952381	0	-0.525
7893	-7.380952381	0	-0.54375
7894	-7.380952381	0	-0.5625
7895	-7.380952381	0	-0.58125
7896	-7.380952381	0	-0.6
7897	-7.380952381	0	-0.61875
7898	-7.380952381	0	-0.6375
7899	-7.380952381	0	-0.65625
7900	-7.380952381	0	-0.675
7901	-7.380952381	0	-0.69375
7902	-7.380952381	0	-0.7125
7903	-7.380952381	0	-0.73125
7904	-7.321428571	0	-3.75E-02
7905	-7.321428571	0	-7.50E-02
7906	-7.321428571	0	-0.1125
7907	-7.321428571	0	-0.15
7908	-7.321428571	0	-0.1875
