X Coodinate [mm],Z Coodinate [mm],Height [nm]
0.00E+00,0.00E+00,-4.13E+00
8.94E-01,0.00E+00,-3.88E+00
8.44E-01,0.00E+00,-3.90E+00
7.94E-01,0.00E+00,-3.91E+00
7.45E-01,0.00E+00,-3.93E+00
6.95E-01,0.00E+00,-3.95E+00
6.45E-01,0.00E+00,-3.96E+00
5.96E-01,0.00E+00,-3.98E+00
5.46E-01,0.00E+00,-4.00E+00
4.96E-01,0.00E+00,-4.02E+00
4.47E-01,0.00E+00,-4.04E+00
3.97E-01,0.00E+00,-4.05E+00
3.48E-01,0.00E+00,-4.07E+00
2.98E-01,0.00E+00,-4.09E+00
2.48E-01,0.00E+00,-4.10E+00
1.99E-01,0.00E+00,-4.11E+00
1.49E-01,0.00E+00,-4.12E+00
9.93E-02,0.00E+00,-4.13E+00
4.96E-02,0.00E+00,-4.13E+00
0.00E+00,-3.22E-02,-4.13E+00
0.00E+00,-6.43E-02,-4.12E+00
0.00E+00,-9.65E-02,-4.11E+00
0.00E+00,-1.29E-01,-4.10E+00
0.00E+00,-1.61E-01,-4.08E+00
0.00E+00,-1.93E-01,-4.06E+00
4.96E-02,-3.22E-02,-4.13E+00
4.96E-02,-6.43E-02,-4.12E+00
4.96E-02,-9.65E-02,-4.11E+00
4.96E-02,-1.29E-01,-4.10E+00
4.96E-02,-1.61E-01,-4.08E+00
4.96E-02,-1.93E-01,-4.06E+00
9.93E-02,-3.22E-02,-4.13E+00
9.93E-02,-6.43E-02,-4.12E+00
9.93E-02,-9.65E-02,-4.11E+00
9.93E-02,-1.29E-01,-4.09E+00
9.93E-02,-1.61E-01,-4.08E+00
9.93E-02,-1.93E-01,-4.06E+00
1.49E-01,-3.22E-02,-4.12E+00
1.49E-01,-6.43E-02,-4.11E+00
1.49E-01,-9.65E-02,-4.10E+00
1.49E-01,-1.29E-01,-4.09E+00
1.49E-01,-1.61E-01,-4.07E+00
1.49E-01,-1.93E-01,-4.06E+00
1.99E-01,-3.22E-02,-4.11E+00
1.99E-01,-6.43E-02,-4.10E+00
1.99E-01,-9.65E-02,-4.09E+00
1.99E-01,-1.29E-01,-4.08E+00
1.99E-01,-1.61E-01,-4.06E+00
1.99E-01,-1.93E-01,-4.05E+00
2.48E-01,-3.22E-02,-4.10E+00
2.48E-01,-6.43E-02,-4.09E+00
2.48E-01,-9.65E-02,-4.08E+00
2.48E-01,-1.29E-01,-4.07E+00
2.48E-01,-1.61E-01,-4.05E+00
2.48E-01,-1.93E-01,-4.04E+00
2.98E-01,-3.22E-02,-4.08E+00
2.98E-01,-6.43E-02,-4.08E+00
2.98E-01,-9.65E-02,-4.07E+00
2.98E-01,-1.29E-01,-4.06E+00
2.98E-01,-1.61E-01,-4.04E+00
2.98E-01,-1.93E-01,-4.03E+00
3.48E-01,-3.22E-02,-4.07E+00
3.48E-01,-6.43E-02,-4.06E+00
3.48E-01,-9.65E-02,-4.05E+00
3.48E-01,-1.29E-01,-4.04E+00
3.48E-01,-1.61E-01,-4.03E+00
3.48E-01,-1.93E-01,-4.02E+00
3.97E-01,-3.22E-02,-4.05E+00
3.97E-01,-6.43E-02,-4.05E+00
3.97E-01,-9.65E-02,-4.04E+00
3.97E-01,-1.29E-01,-4.03E+00
3.97E-01,-1.61E-01,-4.02E+00
3.97E-01,-1.93E-01,-4.01E+00
4.47E-01,-3.22E-02,-4.04E+00
4.47E-01,-6.43E-02,-4.03E+00
4.47E-01,-9.65E-02,-4.02E+00
4.47E-01,-1.29E-01,-4.01E+00
4.47E-01,-1.61E-01,-4.01E+00
4.47E-01,-1.93E-01,-4.00E+00
4.96E-01,-3.22E-02,-4.02E+00
4.96E-01,-6.43E-02,-4.01E+00
4.96E-01,-9.65E-02,-4.01E+00
4.96E-01,-1.29E-01,-4.00E+00
4.96E-01,-1.61E-01,-3.99E+00
4.96E-01,-1.93E-01,-3.98E+00
5.46E-01,-3.22E-02,-4.00E+00
5.46E-01,-6.43E-02,-4.00E+00
5.46E-01,-9.65E-02,-3.99E+00
5.46E-01,-1.29E-01,-3.98E+00
5.46E-01,-1.61E-01,-3.98E+00
5.46E-01,-1.93E-01,-3.97E+00
5.96E-01,-3.22E-02,-3.98E+00
5.96E-01,-6.43E-02,-3.98E+00
5.96E-01,-9.65E-02,-3.97E+00
5.96E-01,-1.29E-01,-3.97E+00
5.96E-01,-1.61E-01,-3.96E+00
5.96E-01,-1.93E-01,-3.95E+00
6.45E-01,-3.22E-02,-3.96E+00
6.45E-01,-6.43E-02,-3.96E+00
6.45E-01,-9.65E-02,-3.96E+00
6.45E-01,-1.29E-01,-3.95E+00
6.45E-01,-1.61E-01,-3.95E+00
6.45E-01,-1.93E-01,-3.94E+00
6.95E-01,-3.22E-02,-3.95E+00
6.95E-01,-6.43E-02,-3.94E+00
6.95E-01,-9.65E-02,-3.94E+00
6.95E-01,-1.29E-01,-3.94E+00
6.95E-01,-1.61E-01,-3.93E+00
6.95E-01,-1.93E-01,-3.93E+00
7.45E-01,-3.22E-02,-3.93E+00
7.45E-01,-6.43E-02,-3.93E+00
7.45E-01,-9.65E-02,-3.93E+00
7.45E-01,-1.29E-01,-3.92E+00
7.45E-01,-1.61E-01,-3.92E+00
7.45E-01,-1.93E-01,-3.91E+00
7.94E-01,-3.22E-02,-3.91E+00
7.94E-01,-6.43E-02,-3.91E+00
7.94E-01,-9.65E-02,-3.91E+00
7.94E-01,-1.29E-01,-3.91E+00
7.94E-01,-1.61E-01,-3.90E+00
7.94E-01,-1.93E-01,-3.90E+00
8.44E-01,-3.22E-02,-3.90E+00
8.44E-01,-6.43E-02,-3.90E+00
8.44E-01,-9.65E-02,-3.90E+00
8.44E-01,-1.29E-01,-3.89E+00
8.44E-01,-1.61E-01,-3.89E+00
8.44E-01,-1.93E-01,-3.89E+00
8.94E-01,-3.22E-02,-3.88E+00
8.94E-01,-6.43E-02,-3.88E+00
8.94E-01,-9.65E-02,-3.88E+00
8.94E-01,-1.29E-01,-3.88E+00
8.94E-01,-1.61E-01,-3.88E+00
8.94E-01,-1.93E-01,-3.87E+00
-4.96E-02,0.00E+00,-4.13E+00
-9.93E-02,0.00E+00,-4.13E+00
-1.49E-01,0.00E+00,-4.12E+00
-1.99E-01,0.00E+00,-4.11E+00
-2.48E-01,0.00E+00,-4.10E+00
-2.98E-01,0.00E+00,-4.08E+00
-3.48E-01,0.00E+00,-4.07E+00
-3.97E-01,0.00E+00,-4.05E+00
-4.47E-01,0.00E+00,-4.03E+00
-4.96E-01,0.00E+00,-4.01E+00
-5.46E-01,0.00E+00,-3.99E+00
-5.96E-01,0.00E+00,-3.97E+00
-6.45E-01,0.00E+00,-3.96E+00
-6.95E-01,0.00E+00,-3.94E+00
-7.45E-01,0.00E+00,-3.92E+00
-7.94E-01,0.00E+00,-3.90E+00
-8.44E-01,0.00E+00,-3.89E+00
-8.94E-01,0.00E+00,-3.87E+00
-8.94E-01,-3.22E-02,-3.87E+00
-8.94E-01,-6.43E-02,-3.87E+00
-8.94E-01,-9.65E-02,-3.87E+00
-8.94E-01,-1.29E-01,-3.87E+00
-8.94E-01,-1.61E-01,-3.87E+00
-8.94E-01,-1.93E-01,-3.86E+00
-8.44E-01,-3.22E-02,-3.89E+00
-8.44E-01,-6.43E-02,-3.89E+00
-8.44E-01,-9.65E-02,-3.88E+00
-8.44E-01,-1.29E-01,-3.88E+00
-8.44E-01,-1.61E-01,-3.88E+00
-8.44E-01,-1.93E-01,-3.88E+00
-7.94E-01,-3.22E-02,-3.90E+00
-7.94E-01,-6.43E-02,-3.90E+00
-7.94E-01,-9.65E-02,-3.90E+00
-7.94E-01,-1.29E-01,-3.90E+00
-7.94E-01,-1.61E-01,-3.89E+00
-7.94E-01,-1.93E-01,-3.89E+00
-7.45E-01,-3.22E-02,-3.92E+00
-7.45E-01,-6.43E-02,-3.92E+00
-7.45E-01,-9.65E-02,-3.92E+00
-7.45E-01,-1.29E-01,-3.91E+00
-7.45E-01,-1.61E-01,-3.91E+00
-7.45E-01,-1.93E-01,-3.90E+00
-6.95E-01,-3.22E-02,-3.94E+00
-6.95E-01,-6.43E-02,-3.94E+00
-6.95E-01,-9.65E-02,-3.93E+00
-6.95E-01,-1.29E-01,-3.93E+00
-6.95E-01,-1.61E-01,-3.92E+00
-6.95E-01,-1.93E-01,-3.92E+00
-6.45E-01,-3.22E-02,-3.96E+00
-6.45E-01,-6.43E-02,-3.95E+00
-6.45E-01,-9.65E-02,-3.95E+00
-6.45E-01,-1.29E-01,-3.94E+00
-6.45E-01,-1.61E-01,-3.94E+00
-6.45E-01,-1.93E-01,-3.93E+00
-5.96E-01,-3.22E-02,-3.97E+00
-5.96E-01,-6.43E-02,-3.97E+00
-5.96E-01,-9.65E-02,-3.97E+00
-5.96E-01,-1.29E-01,-3.96E+00
-5.96E-01,-1.61E-01,-3.95E+00
-5.96E-01,-1.93E-01,-3.95E+00
-5.46E-01,-3.22E-02,-3.99E+00
-5.46E-01,-6.43E-02,-3.99E+00
-5.46E-01,-9.65E-02,-3.98E+00
-5.46E-01,-1.29E-01,-3.98E+00
-5.46E-01,-1.61E-01,-3.97E+00
-5.46E-01,-1.93E-01,-3.96E+00
-4.96E-01,-3.22E-02,-4.01E+00
-4.96E-01,-6.43E-02,-4.01E+00
-4.96E-01,-9.65E-02,-4.00E+00
-4.96E-01,-1.29E-01,-3.99E+00
-4.96E-01,-1.61E-01,-3.98E+00
-4.96E-01,-1.93E-01,-3.98E+00
-4.47E-01,-3.22E-02,-4.03E+00
-4.47E-01,-6.43E-02,-4.02E+00
-4.47E-01,-9.65E-02,-4.02E+00
-4.47E-01,-1.29E-01,-4.01E+00
-4.47E-01,-1.61E-01,-4.00E+00
-4.47E-01,-1.93E-01,-3.99E+00
-3.97E-01,-3.22E-02,-4.05E+00
-3.97E-01,-6.43E-02,-4.04E+00
-3.97E-01,-9.65E-02,-4.03E+00
-3.97E-01,-1.29E-01,-4.02E+00
-3.97E-01,-1.61E-01,-4.01E+00
-3.97E-01,-1.93E-01,-4.00E+00
-3.48E-01,-3.22E-02,-4.06E+00
-3.48E-01,-6.43E-02,-4.06E+00
-3.48E-01,-9.65E-02,-4.05E+00
-3.48E-01,-1.29E-01,-4.04E+00
-3.48E-01,-1.61E-01,-4.03E+00
-3.48E-01,-1.93E-01,-4.02E+00
-2.98E-01,-3.22E-02,-4.08E+00
-2.98E-01,-6.43E-02,-4.07E+00
-2.98E-01,-9.65E-02,-4.06E+00
-2.98E-01,-1.29E-01,-4.05E+00
-2.98E-01,-1.61E-01,-4.04E+00
-2.98E-01,-1.93E-01,-4.03E+00
-2.48E-01,-3.22E-02,-4.09E+00
-2.48E-01,-6.43E-02,-4.09E+00
-2.48E-01,-9.65E-02,-4.08E+00
-2.48E-01,-1.29E-01,-4.07E+00
-2.48E-01,-1.61E-01,-4.05E+00
-2.48E-01,-1.93E-01,-4.04E+00
-1.99E-01,-3.22E-02,-4.11E+00
-1.99E-01,-6.43E-02,-4.10E+00
-1.99E-01,-9.65E-02,-4.09E+00
-1.99E-01,-1.29E-01,-4.08E+00
-1.99E-01,-1.61E-01,-4.06E+00
-1.99E-01,-1.93E-01,-4.05E+00
-1.49E-01,-3.22E-02,-4.12E+00
-1.49E-01,-6.43E-02,-4.11E+00
-1.49E-01,-9.65E-02,-4.10E+00
-1.49E-01,-1.29E-01,-4.08E+00
-1.49E-01,-1.61E-01,-4.07E+00
-1.49E-01,-1.93E-01,-4.05E+00
-9.93E-02,-3.22E-02,-4.12E+00
-9.93E-02,-6.43E-02,-4.12E+00
-9.93E-02,-9.65E-02,-4.10E+00
-9.93E-02,-1.29E-01,-4.09E+00
-9.93E-02,-1.61E-01,-4.07E+00
-9.93E-02,-1.93E-01,-4.06E+00
-4.96E-02,-3.22E-02,-4.13E+00
-4.96E-02,-6.43E-02,-4.12E+00
-4.96E-02,-9.65E-02,-4.11E+00
-4.96E-02,-1.29E-01,-4.09E+00
-4.96E-02,-1.61E-01,-4.08E+00
-4.96E-02,-1.93E-01,-4.06E+00
