X Coodinate [mm],Z Coodinate [mm],Height [nm]
-5.46E-01,-3.22E-02,-1.34E+01
-5.46E-01,-6.43E-02,-1.34E+01
-5.46E-01,-9.65E-02,-1.33E+01
-5.46E-01,-1.29E-01,-1.33E+01
-5.46E-01,-1.61E-01,-1.33E+01
-5.46E-01,-1.93E-01,-1.33E+01
-4.96E-01,-3.22E-02,-1.34E+01
-4.96E-01,-6.43E-02,-1.34E+01
-4.96E-01,-9.65E-02,-1.34E+01
-4.96E-01,-1.29E-01,-1.34E+01
-4.96E-01,-1.61E-01,-1.33E+01
-4.96E-01,-1.93E-01,-1.33E+01
-4.47E-01,-3.22E-02,-1.35E+01
-4.47E-01,-6.43E-02,-1.35E+01
-4.47E-01,-9.65E-02,-1.35E+01
-4.47E-01,-1.29E-01,-1.34E+01
-4.47E-01,-1.61E-01,-1.34E+01
-4.47E-01,-1.93E-01,-1.34E+01
-3.97E-01,-3.22E-02,-1.36E+01
-3.97E-01,-6.43E-02,-1.35E+01
-3.97E-01,-9.65E-02,-1.35E+01
-3.97E-01,-1.29E-01,-1.35E+01
-3.97E-01,-1.61E-01,-1.34E+01
-3.97E-01,-1.93E-01,-1.34E+01
-3.48E-01,-3.22E-02,-1.36E+01
-3.48E-01,-6.43E-02,-1.36E+01
-3.48E-01,-9.65E-02,-1.36E+01
-3.48E-01,-1.29E-01,-1.35E+01
-3.48E-01,-1.61E-01,-1.35E+01
-3.48E-01,-1.93E-01,-1.34E+01
-2.98E-01,-3.22E-02,-1.37E+01
-2.98E-01,-6.43E-02,-1.37E+01
-2.98E-01,-9.65E-02,-1.36E+01
-2.98E-01,-1.29E-01,-1.36E+01
-2.98E-01,-1.61E-01,-1.35E+01
-2.98E-01,-1.93E-01,-1.35E+01
-2.48E-01,-3.22E-02,-1.37E+01
-2.48E-01,-6.43E-02,-1.37E+01
-2.48E-01,-9.65E-02,-1.37E+01
-2.48E-01,-1.29E-01,-1.36E+01
-2.48E-01,-1.61E-01,-1.36E+01
-2.48E-01,-1.93E-01,-1.35E+01
