X Coodinate [mm],Z Coodinate [mm],Height [nm]
0.00E+00,0.00E+00,-4.06E+00
1.15E+00,0.00E+00,-3.83E+00
1.09E+00,0.00E+00,-3.84E+00
1.02E+00,0.00E+00,-3.86E+00
9.58E-01,0.00E+00,-3.87E+00
8.94E-01,0.00E+00,-3.89E+00
8.31E-01,0.00E+00,-3.90E+00
7.67E-01,0.00E+00,-3.92E+00
7.03E-01,0.00E+00,-3.94E+00
6.39E-01,0.00E+00,-3.95E+00
5.75E-01,0.00E+00,-3.97E+00
5.11E-01,0.00E+00,-3.99E+00
4.47E-01,0.00E+00,-4.00E+00
3.83E-01,0.00E+00,-4.02E+00
3.19E-01,0.00E+00,-4.03E+00
2.56E-01,0.00E+00,-4.04E+00
1.92E-01,0.00E+00,-4.05E+00
1.28E-01,0.00E+00,-4.05E+00
6.39E-02,0.00E+00,-4.06E+00
0.00E+00,-6.35E-02,-4.05E+00
0.00E+00,-1.27E-01,-4.04E+00
0.00E+00,-1.91E-01,-4.03E+00
0.00E+00,-2.54E-01,-4.01E+00
0.00E+00,-3.18E-01,-3.98E+00
0.00E+00,-3.81E-01,-3.96E+00
6.39E-02,-6.35E-02,-4.05E+00
6.39E-02,-1.27E-01,-4.04E+00
6.39E-02,-1.91E-01,-4.03E+00
6.39E-02,-2.54E-01,-4.01E+00
6.39E-02,-3.18E-01,-3.98E+00
6.39E-02,-3.81E-01,-3.96E+00
1.28E-01,-6.35E-02,-4.05E+00
1.28E-01,-1.27E-01,-4.04E+00
1.28E-01,-1.91E-01,-4.02E+00
1.28E-01,-2.54E-01,-4.00E+00
1.28E-01,-3.18E-01,-3.98E+00
1.28E-01,-3.81E-01,-3.96E+00
1.92E-01,-6.35E-02,-4.04E+00
1.92E-01,-1.27E-01,-4.03E+00
1.92E-01,-1.91E-01,-4.02E+00
1.92E-01,-2.54E-01,-4.00E+00
1.92E-01,-3.18E-01,-3.98E+00
1.92E-01,-3.81E-01,-3.96E+00
2.56E-01,-6.35E-02,-4.04E+00
2.56E-01,-1.27E-01,-4.02E+00
2.56E-01,-1.91E-01,-4.01E+00
2.56E-01,-2.54E-01,-3.99E+00
2.56E-01,-3.18E-01,-3.97E+00
2.56E-01,-3.81E-01,-3.95E+00
3.19E-01,-6.35E-02,-4.02E+00
3.19E-01,-1.27E-01,-4.01E+00
3.19E-01,-1.91E-01,-4.00E+00
3.19E-01,-2.54E-01,-3.98E+00
3.19E-01,-3.18E-01,-3.96E+00
3.19E-01,-3.81E-01,-3.95E+00
3.83E-01,-6.35E-02,-4.01E+00
3.83E-01,-1.27E-01,-4.00E+00
3.83E-01,-1.91E-01,-3.99E+00
3.83E-01,-2.54E-01,-3.97E+00
3.83E-01,-3.18E-01,-3.96E+00
3.83E-01,-3.81E-01,-3.94E+00
4.47E-01,-6.35E-02,-4.00E+00
4.47E-01,-1.27E-01,-3.99E+00
4.47E-01,-1.91E-01,-3.98E+00
4.47E-01,-2.54E-01,-3.96E+00
4.47E-01,-3.18E-01,-3.95E+00
4.47E-01,-3.81E-01,-3.93E+00
5.11E-01,-6.35E-02,-3.98E+00
5.11E-01,-1.27E-01,-3.98E+00
5.11E-01,-1.91E-01,-3.96E+00
5.11E-01,-2.54E-01,-3.95E+00
5.11E-01,-3.18E-01,-3.94E+00
5.11E-01,-3.81E-01,-3.92E+00
5.75E-01,-6.35E-02,-3.97E+00
5.75E-01,-1.27E-01,-3.96E+00
5.75E-01,-1.91E-01,-3.95E+00
5.75E-01,-2.54E-01,-3.94E+00
5.75E-01,-3.18E-01,-3.92E+00
5.75E-01,-3.81E-01,-3.91E+00
6.39E-01,-6.35E-02,-3.95E+00
6.39E-01,-1.27E-01,-3.95E+00
6.39E-01,-1.91E-01,-3.94E+00
6.39E-01,-2.54E-01,-3.92E+00
6.39E-01,-3.18E-01,-3.91E+00
6.39E-01,-3.81E-01,-3.90E+00
7.03E-01,-6.35E-02,-3.93E+00
7.03E-01,-1.27E-01,-3.93E+00
7.03E-01,-1.91E-01,-3.92E+00
7.03E-01,-2.54E-01,-3.91E+00
7.03E-01,-3.18E-01,-3.90E+00
7.03E-01,-3.81E-01,-3.89E+00
7.67E-01,-6.35E-02,-3.92E+00
7.67E-01,-1.27E-01,-3.91E+00
7.67E-01,-1.91E-01,-3.91E+00
7.67E-01,-2.54E-01,-3.90E+00
7.67E-01,-3.18E-01,-3.89E+00
7.67E-01,-3.81E-01,-3.88E+00
8.31E-01,-6.35E-02,-3.90E+00
8.31E-01,-1.27E-01,-3.90E+00
8.31E-01,-1.91E-01,-3.89E+00
8.31E-01,-2.54E-01,-3.88E+00
8.31E-01,-3.18E-01,-3.87E+00
8.31E-01,-3.81E-01,-3.87E+00
8.94E-01,-6.35E-02,-3.89E+00
8.94E-01,-1.27E-01,-3.88E+00
8.94E-01,-1.91E-01,-3.88E+00
8.94E-01,-2.54E-01,-3.87E+00
8.94E-01,-3.18E-01,-3.86E+00
8.94E-01,-3.81E-01,-3.85E+00
9.58E-01,-6.35E-02,-3.87E+00
9.58E-01,-1.27E-01,-3.87E+00
9.58E-01,-1.91E-01,-3.86E+00
9.58E-01,-2.54E-01,-3.86E+00
9.58E-01,-3.18E-01,-3.85E+00
9.58E-01,-3.81E-01,-3.84E+00
1.02E+00,-6.35E-02,-3.86E+00
1.02E+00,-1.27E-01,-3.85E+00
1.02E+00,-1.91E-01,-3.85E+00
1.02E+00,-2.54E-01,-3.84E+00
1.02E+00,-3.18E-01,-3.84E+00
1.02E+00,-3.81E-01,-3.83E+00
1.09E+00,-6.35E-02,-3.84E+00
1.09E+00,-1.27E-01,-3.84E+00
1.09E+00,-1.91E-01,-3.83E+00
1.09E+00,-2.54E-01,-3.83E+00
1.09E+00,-3.18E-01,-3.83E+00
1.09E+00,-3.81E-01,-3.82E+00
1.15E+00,-6.35E-02,-3.83E+00
1.15E+00,-1.27E-01,-3.82E+00
1.15E+00,-1.91E-01,-3.82E+00
1.15E+00,-2.54E-01,-3.82E+00
1.15E+00,-3.18E-01,-3.81E+00
1.15E+00,-3.81E-01,-3.81E+00
-6.39E-02,0.00E+00,-4.06E+00
-1.28E-01,0.00E+00,-4.05E+00
-1.92E-01,0.00E+00,-4.04E+00
-2.56E-01,0.00E+00,-4.04E+00
-3.19E-01,0.00E+00,-4.02E+00
-3.83E-01,0.00E+00,-4.01E+00
-4.47E-01,0.00E+00,-4.00E+00
-5.11E-01,0.00E+00,-3.98E+00
-5.75E-01,0.00E+00,-3.96E+00
-6.39E-01,0.00E+00,-3.95E+00
-7.03E-01,0.00E+00,-3.93E+00
-7.67E-01,0.00E+00,-3.91E+00
-8.31E-01,0.00E+00,-3.89E+00
-8.94E-01,0.00E+00,-3.88E+00
-9.58E-01,0.00E+00,-3.86E+00
-1.02E+00,0.00E+00,-3.84E+00
-1.09E+00,0.00E+00,-3.83E+00
-1.15E+00,0.00E+00,-3.81E+00
-1.15E+00,-6.35E-02,-3.81E+00
-1.15E+00,-1.27E-01,-3.81E+00
-1.15E+00,-1.91E-01,-3.81E+00
-1.15E+00,-2.54E-01,-3.80E+00
-1.15E+00,-3.18E-01,-3.80E+00
-1.15E+00,-3.81E-01,-3.79E+00
-1.09E+00,-6.35E-02,-3.83E+00
-1.09E+00,-1.27E-01,-3.82E+00
-1.09E+00,-1.91E-01,-3.82E+00
-1.09E+00,-2.54E-01,-3.82E+00
-1.09E+00,-3.18E-01,-3.81E+00
-1.09E+00,-3.81E-01,-3.81E+00
-1.02E+00,-6.35E-02,-3.84E+00
-1.02E+00,-1.27E-01,-3.84E+00
-1.02E+00,-1.91E-01,-3.83E+00
-1.02E+00,-2.54E-01,-3.83E+00
-1.02E+00,-3.18E-01,-3.82E+00
-1.02E+00,-3.81E-01,-3.82E+00
-9.58E-01,-6.35E-02,-3.86E+00
-9.58E-01,-1.27E-01,-3.85E+00
-9.58E-01,-1.91E-01,-3.85E+00
-9.58E-01,-2.54E-01,-3.84E+00
-9.58E-01,-3.18E-01,-3.84E+00
-9.58E-01,-3.81E-01,-3.83E+00
-8.94E-01,-6.35E-02,-3.87E+00
-8.94E-01,-1.27E-01,-3.87E+00
-8.94E-01,-1.91E-01,-3.86E+00
-8.94E-01,-2.54E-01,-3.86E+00
-8.94E-01,-3.18E-01,-3.85E+00
-8.94E-01,-3.81E-01,-3.84E+00
-8.31E-01,-6.35E-02,-3.89E+00
-8.31E-01,-1.27E-01,-3.89E+00
-8.31E-01,-1.91E-01,-3.88E+00
-8.31E-01,-2.54E-01,-3.87E+00
-8.31E-01,-3.18E-01,-3.86E+00
-8.31E-01,-3.81E-01,-3.85E+00
-7.67E-01,-6.35E-02,-3.91E+00
-7.67E-01,-1.27E-01,-3.90E+00
-7.67E-01,-1.91E-01,-3.90E+00
-7.67E-01,-2.54E-01,-3.89E+00
-7.67E-01,-3.18E-01,-3.88E+00
-7.67E-01,-3.81E-01,-3.87E+00
-7.03E-01,-6.35E-02,-3.93E+00
-7.03E-01,-1.27E-01,-3.92E+00
-7.03E-01,-1.91E-01,-3.91E+00
-7.03E-01,-2.54E-01,-3.90E+00
-7.03E-01,-3.18E-01,-3.89E+00
-7.03E-01,-3.81E-01,-3.88E+00
-6.39E-01,-6.35E-02,-3.94E+00
-6.39E-01,-1.27E-01,-3.94E+00
-6.39E-01,-1.91E-01,-3.93E+00
-6.39E-01,-2.54E-01,-3.92E+00
-6.39E-01,-3.18E-01,-3.90E+00
-6.39E-01,-3.81E-01,-3.89E+00
-5.75E-01,-6.35E-02,-3.96E+00
-5.75E-01,-1.27E-01,-3.95E+00
-5.75E-01,-1.91E-01,-3.94E+00
-5.75E-01,-2.54E-01,-3.93E+00
-5.75E-01,-3.18E-01,-3.92E+00
-5.75E-01,-3.81E-01,-3.90E+00
-5.11E-01,-6.35E-02,-3.98E+00
-5.11E-01,-1.27E-01,-3.97E+00
-5.11E-01,-1.91E-01,-3.96E+00
-5.11E-01,-2.54E-01,-3.94E+00
-5.11E-01,-3.18E-01,-3.93E+00
-5.11E-01,-3.81E-01,-3.91E+00
-4.47E-01,-6.35E-02,-3.99E+00
-4.47E-01,-1.27E-01,-3.98E+00
-4.47E-01,-1.91E-01,-3.97E+00
-4.47E-01,-2.54E-01,-3.96E+00
-4.47E-01,-3.18E-01,-3.94E+00
-4.47E-01,-3.81E-01,-3.92E+00
-3.83E-01,-6.35E-02,-4.01E+00
-3.83E-01,-1.27E-01,-4.00E+00
-3.83E-01,-1.91E-01,-3.98E+00
-3.83E-01,-2.54E-01,-3.97E+00
-3.83E-01,-3.18E-01,-3.95E+00
-3.83E-01,-3.81E-01,-3.93E+00
-3.19E-01,-6.35E-02,-4.02E+00
-3.19E-01,-1.27E-01,-4.01E+00
-3.19E-01,-1.91E-01,-4.00E+00
-3.19E-01,-2.54E-01,-3.98E+00
-3.19E-01,-3.18E-01,-3.96E+00
-3.19E-01,-3.81E-01,-3.94E+00
-2.56E-01,-6.35E-02,-4.03E+00
-2.56E-01,-1.27E-01,-4.02E+00
-2.56E-01,-1.91E-01,-4.01E+00
-2.56E-01,-2.54E-01,-3.99E+00
-2.56E-01,-3.18E-01,-3.97E+00
-2.56E-01,-3.81E-01,-3.95E+00
-1.92E-01,-6.35E-02,-4.04E+00
-1.92E-01,-1.27E-01,-4.03E+00
-1.92E-01,-1.91E-01,-4.01E+00
-1.92E-01,-2.54E-01,-4.00E+00
-1.92E-01,-3.18E-01,-3.97E+00
-1.92E-01,-3.81E-01,-3.95E+00
-1.28E-01,-6.35E-02,-4.05E+00
-1.28E-01,-1.27E-01,-4.04E+00
-1.28E-01,-1.91E-01,-4.02E+00
-1.28E-01,-2.54E-01,-4.00E+00
-1.28E-01,-3.18E-01,-3.98E+00
-1.28E-01,-3.81E-01,-3.96E+00
-6.39E-02,-6.35E-02,-4.05E+00
-6.39E-02,-1.27E-01,-4.04E+00
-6.39E-02,-1.91E-01,-4.02E+00
-6.39E-02,-2.54E-01,-4.00E+00
-6.39E-02,-3.18E-01,-3.98E+00
-6.39E-02,-3.81E-01,-3.96E+00
